event_index,event_title,event_date,related_companies,related_concepts,status,matched_by,matched_value,stock_code,stock_name,trade_date_used,turnover_rate,float_mv,reason
1,Strategy增持3273枚比特币,2026-04-27 20:06:52,Strategy,比特币|区块链|数字资产,ok,concept,区块链,000889,中嘉博创,2026-04-17,31.6898,46.015,
2,中微公司Q1净利增197%,2026-04-27 20:05:51,中微公司(688012.SH)|拓荆科技(688072.SH),半导体设备|科创板|国产替代,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
3,一季度规上工业利润增15.5%,2026-04-27 20:04:42,,工业利润|经济复苏|制造业,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
4,阿里拟分拆REIT上市,2026-04-27 20:04:40,阿里巴巴,REITs|资产证券化|物流地产,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
5,壳牌收购ARC资源,2026-04-27 20:03:57,壳牌|ARC资源,油气开采|能源并购|加拿大资源,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
6,BDI指数微涨,2026-04-27 20:03:19,,航运|港口|大宗商品,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
7,立昂微一季度扭亏为盈,2026-04-27 20:01:54,立昂微(605358.SH),硅片|半导体材料|12英寸硅片,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
8,俄乌冲突升级,2026-04-27 20:01:07,,军工|无人机|地缘政治,ok,concept,无人机,002361,神剑股份,2026-04-17,42.8122,151.7105,
9,天源拟投8亿建储能项目,2026-04-27 20:00:12,武汉天源(301127.SZ),储能|电网侧独立储能|绿电,ok,concept,储能,301157,华塑科技,2026-04-17,41.1832,17.714,
10,巴基斯坦导弹袭击阿富汗,2026-04-27 19:58:20,,军工|黄金|石油,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
11,昇腾业务占比不足0.1%,2026-04-27 19:56:39,深圳华强(000062),昇腾概念|华为产业链|存储芯片,ok,concept,存储芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
12,浙海德曼Q1净利润增680%,2026-04-27 19:55:56,浙海德曼(688577.SH),工业母机|数控机床|智能制造,ok,concept,工业母机,301603,乔锋智能,2026-04-17,33.2611,35.6572,
13,伊美谈判受阻，伊朗转向巴基斯坦磋商,2026-04-27 19:52:25,,石油|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
14,中坚科技被证监会立案,2026-04-27 19:51:41,中坚科技(002779.SZ),信披违规|监管处罚|立案调查,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
15,募捐平台管理办法修订,2026-04-27 19:51:04,,互联网平台|慈善公益|数据安全,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
16,汇川技术回购股份,2026-04-27 19:50:51,汇川技术(300124.SZ),股权激励|员工持股计划|回购,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
17,汇川技术Q1净利润降23%,2026-04-27 19:50:29,汇川技术(300124.SZ),工业自动化|伺服系统|新能源汽车,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
18,永太科技一季度净利增890%,2026-04-27 19:49:13,永太科技(002326.SZ),锂电池|新能源汽车|氟化工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
19,美调查肉类价格高企,2026-04-27 19:47:14,双汇发展|温氏股份|牧原股份,猪肉|鸡肉|食品加工,ok,concept,"猪肉,鸡肉",002124,天邦食品,2026-04-17,22.203,60.7485,
20,五部门联合规范废旧电池回收,2026-04-27 19:46:06,格林美|天奇股份|华友钴业,动力电池回收|锂电池|环保,ok,company,"格林美,天奇股份,华友钴业",002009,天奇股份,2026-04-17,4.5783,87.0788,
21,阳光电源Q1净利润同比降40%,2026-04-27 19:43:03,阳光电源(300274.SZ),光伏|逆变器|储能,ok,concept,"光伏,储能",301157,华塑科技,2026-04-17,41.1832,17.714,
22,完美世界Q1净利润降66%,2026-04-27 19:42:51,完美世界(002624.SZ),游戏|影视|传媒,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
23,电源芯片进入收获期,2026-04-27 19:42:12,,电源管理芯片|第三代半导体|高性能计算,ok,concept,第三代半导体,002902,铭普光磁,2026-04-17,29.9372,53.9647,
24,中信尼雅被实施退市风险警示,2026-04-27 19:38:40,中信尼雅(600084.SH),ST板块|葡萄酒|消费,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
25,天齐锂业Q1净利润增1699%,2026-04-27 19:38:30,天齐锂业(002466.SZ)|SQM,锂矿|新能源汽车|锂电池,ok,concept,锂矿,002213,大为股份,2026-04-17,26.5228,77.934,
26,天通股份一季度亏损,2026-04-27 19:38:23,天通股份(600330.SH),光伏设备|专用装备制造|资产减值,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
27,伊拉克开放巴格达绿区入口,2026-04-27 19:37:27,,石油石化|军工|黄金,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
28,永兴材料Q1净利增155%,2026-04-27 19:36:51,永兴材料(002756.SZ),碳酸锂|锂矿|新能源材料,ok,concept,锂矿,002213,大为股份,2026-04-17,26.5228,77.934,
29,普京会见伊朗外长,2026-04-27 19:36:09,,石油|黄金|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
30,以军打击黎巴嫩真主党,2026-04-27 19:35:38,,军工|国防安全|地缘政治,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
31,加拿大成立主权财富基金,2026-04-27 19:35:27,,主权财富基金|财政政策|国家战略投资,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
32,德总理称美伊冲突无退出战略,2026-04-27 19:35:10,中国石油|中国石化|中金黄金,石油天然气|军工|黄金,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
33,君实生物Q1亏损收窄,2026-04-27 19:34:58,君实生物(688180.SH),创新药|生物医药|PD-1抑制剂,ok,concept,创新药,300858,科拓生物,2026-04-17,22.448,49.8159,
34,ST臻镭Q1净利润增76%,2026-04-27 19:33:47,ST臻镭(688270.SH),军工电子|芯片设计|科创板,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
35,欧洲股市盘中上涨,2026-04-27 19:30:47,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
36,鼎龙股份Q1净利润增78%,2026-04-27 19:30:45,鼎龙股份(300054.SZ)|深圳皓飞新材,CMP材料|半导体材料|新材料,ok,concept,新材料,002361,神剑股份,2026-04-17,42.8122,151.7105,
37,长安汽车一季度营收下滑,2026-04-27 19:30:26,长安汽车,新能源汽车|汽车整车|汇兑损益,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
38,天健地产高溢价竞得深圳宅地,2026-04-27 19:30:01,天健集团|天健地产,深圳本地地产股|土地储备|房地产板块,ok,company,"天健集团,天健地产",000090,天健集团,2026-04-17,0.9639,68.3856,
39,禾盛新材澄清ARM CPU传闻,2026-04-27 19:29:44,禾盛新材(002290)|熠知电子,ARM架构|CPU设计|半导体,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
40,协创数据Q1净利润增343%,2026-04-27 19:27:47,协创数据(300857.SZ),存储芯片|物联网|智能终端,ok,concept,"存储芯片,物联网",002771,真视通,2026-04-17,44.1472,32.3201,
41,普京会见伊朗外长,2026-04-27 19:24:30,,石油|军工|一带一路,ok,concept,一带一路,920249,利尔达,2026-04-17,34.5014,14.2373,
42,WTI原油期货回落至95美元,2026-04-27 19:23:56,,石油开采|化工|能源,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
43,美国汽油价格升至4.11美元,2026-04-27 19:23:33,中国石油|中国石化|恒力石化,石油开采|加油站|化工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
44,耕地保护法草案二审强化规定,2026-04-27 19:22:19,大禹节水|隆平高科|一拖股份,高标准农田|种业|农业机械化,ok,company,"大禹节水,隆平高科,一拖股份",000998,隆平高科,2026-04-17,1.7383,129.9952,
45,万祥科技收监管函,2026-04-27 19:20:28,万祥科技,消费电子|锂电池|精密制造,ok,company,万祥科技,301180,万祥科技,2026-04-17,3.6817,33.9437,
46,普京谈AI监管模式,2026-04-27 19:20:09,,人工智能|AI监管|数字经济,ok,concept,人工智能,002771,真视通,2026-04-17,44.1472,32.3201,
47,中医药服务贸易试点启动,2026-04-27 19:20:01,同仁堂|白云山|华润三九,中医药|服务贸易|健康中国,ok,company,"同仁堂,白云山,华润三九",000999,华润三九,2026-04-17,0.7926,456.9083,
48,新洋丰62亿投建磷化工及磷酸铁锂,2026-04-27 19:19:01,新洋丰(000902.SZ),磷酸铁锂|磷化工|新能源材料,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
49,高通与OpenAI合作研发处理器,2026-04-27 19:18:09,高通|OpenAI,AI芯片|智能手机处理器|AI手机,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
50,金信诺Q1净利润同比增560%,2026-04-27 19:17:51,金信诺(300252.SZ),军工通信|5G|电缆,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
51,安彩高科拟增资控股光伏玻璃公司,2026-04-27 19:17:00,安彩高科(600207.SH)|湖北明弘科技集团有限公司|湖北弘诺玻璃科技有限公司,光伏玻璃|新能源|玻璃,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
52,天赐材料Q1净利增1006%,2026-04-27 19:14:13,天赐材料(002709.SZ),锂离子电池|电解液|新能源车,ok,concept,新能源车,301603,乔锋智能,2026-04-17,33.2611,35.6572,
