股票代码,周起始日,周二日期,周二开盘价,周五日期,周五收盘价,周收益率
002771,2026-03-02,2026-03-03,15.83,2026-03-06,16.12,0.01831964624131402
002771,2026-03-09,2026-03-10,16.36,2026-03-13,15.12,-0.07579462102689488
002771,2026-03-16,2026-03-17,15.63,2026-03-20,15.53,-0.006397952655150443
002771,2026-03-23,2026-03-24,14.39,2026-03-27,16.55,0.15010423905489925
002771,2026-03-30,2026-03-31,16.63,2026-04-03,15.91,-0.04329524954900775
002771,2026-04-06,2026-04-07,15.87,2026-04-10,16.18,0.019533711405167013
002771,2026-04-13,2026-04-14,17.16,2026-04-17,18.52,0.07925407925407922
603496,2026-03-02,2026-03-03,31.39,2026-03-06,30.6,-0.02516725071678876
603496,2026-03-09,2026-03-10,31.77,2026-03-13,29.4,-0.07459867799811146
603496,2026-03-16,2026-03-17,29.67,2026-03-20,28.76,-0.030670711156049885
603496,2026-03-23,2026-03-24,27.54,2026-03-27,28.28,0.026870007262164198
603496,2026-03-30,2026-03-31,28.68,2026-04-03,27.86,-0.028591352859135295
603496,2026-04-06,2026-04-07,27.64,2026-04-10,28.83,0.04305354558610701
603496,2026-04-13,2026-04-14,29.02,2026-04-17,29.9,0.03032391454169535
688720,2026-03-02,2026-03-03,76.62,2026-03-06,69.55,-0.09227355781780223
688720,2026-03-09,2026-03-10,68.96,2026-03-13,66.7,-0.03277262180974465
688720,2026-03-16,2026-03-17,71.8,2026-03-20,64.28,-0.10473537604456819
688720,2026-03-23,2026-03-24,61.99,2026-03-27,64.3,0.03726407485078231
688720,2026-03-30,2026-03-31,66.9,2026-04-03,67.65,0.011210762331838564
688720,2026-04-06,2026-04-07,67.48,2026-04-10,74.8,0.10847658565500878
688720,2026-04-13,2026-04-14,76.02,2026-04-17,77.61,0.020915548539857977
